candidate,results,state,date
Lewis,48.3,California,2024-10-25
Westcott,50.1,California,2024-10-25
Lewis,45.6,Texas,2024-10-25
Westcott,51.2,Texas,2024-10-25
Lewis,52.7,Florida,2024-10-25
Westcott,44.9,Florida,2024-10-25
Lewis,47.5,New York,2024-10-25
Westcott,49.0,New York,2024-10-25
Lewis,51.3,Ohio,2024-10-25
Westcott,46.8,Ohio,2024-10-25
Lewis,46.4,Pennsylvania,2024-10-25
Westcott,48.9,Pennsylvania,2024-10-25
Lewis,50.2,Georgia,2024-10-25
Westcott,47.7,Georgia,2024-10-25
Lewis,44.8,Michigan,2024-10-25
Westcott,50.4,Michigan,2024-10-25
Lewis,49.1,North Carolina,2024-10-25
Westcott,48.2,North Carolina,2024-10-25
Lewis,47.8,Arizona,2024-10-25
Westcott,49.6,Arizona,2024-10-25
Lewis,48.9,Nevada,2024-10-25
Westcott,48.4,Nevada,2024-10-25
Lewis,47.3,Wisconsin,2024-10-25
Westcott,49.1,Wisconsin,2024-10-25
Lewis,50.5,Minnesota,2024-10-25
Westcott,45.7,Minnesota,2024-10-25
